셀트리온헬스케어,00554024,091990
에코프로비엠,01160363,247540
펄어비스,01152470,263750
엘앤에프,00398701,066970
카카오게임즈,01137383,293490
위메이드,00444329,112040
셀트리온제약,00541349,068760
SK머티리얼즈,00110051,036490
씨젠,00788773,096530
에이치엘비,00199252,028300
천보,00897752,278280
에코프로,00536541,086520
리노공업,00369657,058470
CJ ENM,00265324,035760
알테오젠,00989619,196170
스튜디오드래곤,01168684,253450
아프리카TV,00399694,067160
에스티팜,00871833,237690
동화기업,00173032,025900
위지윅스튜디오,01276327,299900
컴투스,00476498,078340
솔브레인,01489648,357780
원익IPS,01135941,240810
대주전자재료,00177816,078600
휴젤,00888347,145020
LX세미콘,00525934,108320
동진쎄미켐,00118804,005290
티씨케이,00245472,064760
메지온,00808022,140410
JYP Ent.,00258689,035900
오스템임플란트,00341916,048260
에스엠,00260930,041510
엔켐,01011526,348370
HK이노엔,01012066,195940
지씨셀,01010642,144510
케이엠더블유,00226352,032500
제넥신,00545929,095700
비덴트,00693651,121800
유바이오로직스,00927558,206650
자이언트스텝,01264438,289220
고영,00579999,098460
디어유,01456011,376300
덕산네오룩스,01061558,213420
심텍,01095722,222800
에코프로에이치엔,01566248,383310
이오테크닉스,00246417,039030
게임빌,00535746,063080
파라다이스,00171265,034230
신라젠,00919966,215600
한국비엔씨,01179617,256840
에스에프에이,00358271,056190
바이오니아,00326731,064550
현대바이오,00313649,048410
레고켐바이오,00842619,141080
하나머티리얼즈,00660750,166090
데브시스터즈,01008762,194480
에이치엘비생명과학,00365590,067630
클래시스,01061327,214150
네이처셀,00117276,007390
유진테크,00531014,084370
피엔티,00612294,137400
NICE평가정보,00158325,030190
골프존,01067516,215000
와이지엔터테인먼트,00613318,122870
SFA반도체,00301246,036540
다날,00389970,064260
차바이오텍,00525679,085660
메드팩토,01336373,235980
파크시스템스,00244747,140860
삼천당제약,00128546,000250
덱스터,01021949,206560
다원시스,00523307,068240
아이티엠반도체,00579980,084850
나노스,00653103,151910
네오이뮨텍,01511558,950220
위메이드맥스,00643656,101730
상아프론테크,00181299,089980
에이비엘바이오,01256864,298380
메가스터디교육,01074862,215200
RFHIC,01078178,218410
동국제약,00114808,086450
포스코 ICT,00155212,022100
씨아이에스,01090471,222080
콜마비앤에이치,01032404,200130
웹젠,00405320,069080
넵튠,01067808,217270
헬릭스미스,00359395,084990
하림지주,00148364,003380
아난티,00161781,025980
메디톡스,00580199,086900
NHN한국사이버결제,00357740,060250
오스코텍,00263654,039200
우리기술투자,00231664,041190
박셀바이오,01335851,323990
서울반도체,00130763,046890
파마리서치,00970453,214450
